title,description,date,location
"General Council Meeting","President Elections",2023-03-06,"HEB 110"
"General Council Meeting","New Member Introduction",2023-02-27,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Guest Speaker on entrepreneurship",2023-02-20,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Leadership Minute from Brianna Navas",2023-02-13,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Leadership Minute from Samantha Echegaray and Daniel Fitzgerald",2023-02-06,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Engineering Survey results",2023-01-30,"HEB 110"
"General Council Meeting","Career Fair Walkthrough",2023-01-23,"Kyle Field"
"General Council Meeting","Last meeting of semester",2022-11-28,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","No meeting (Thanksgiving break)",2022-11-21,"HEB 110"
"General Council Meeting","Guest Speaker: Credera presentation",2022-11-14,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Guest Speaker: Melinda Haughey",2022-11-07,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Midsemester Check-In meeting",2022-10-31,"HEB 110"
"General Council Meeting","Representation Meeting",2022-10-24,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Alumni Panel",2022-10-17,"Zoom"
"General Council Meeting","No meeting (Fall Break)",2022-10-10,"HEB 110"
"General Council Meeting","New Member Introduction, The REACH Project",2022-10-03,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Leadership Minute from Anirudh",2022-09-26,"HEB 110"
"General Council Meeting","Leadership Minute from Ozi & Vivian, Bylaws meeting",2022-09-19,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Leadership Minute from Shaham",2022-09-12,"HEB 110"
"General Council Meeting","No meeting (Labor Day)",2022-09-05,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Career Fair Walkthrough",2022-08-29,"Kyle Field"
"General Council Meeting","Last meeting of semester, Student Career Panel",2022-04-25,"HEB 110"
"General Council Meeting","Guest Speakers: Dr. Philip and Susan Ritchey",2022-04-18,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Professional Headshots",2022-04-11,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Committee accomplishments review",2022-04-04,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Alumni Panel (virtual)",2022-03-28,"Zoom"
"General Council Meeting","Vice President Elections",2022-03-21,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","No meeting (Spring Break)",2022-03-14,"HEB 110"
"General Council Meeting","President Elections",2022-03-07,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Guest Speaker: Craig Brown",2022-02-28,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Regular Council Meeting",2022-02-14,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Bylaws meeting",2022-02-07,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Legislation Presentation",2022-01-31,"HEB 110"
"General Council Meeting","Career Fair Walkthrough",2022-01-24,"Kyle Field"
"General Council Meeting","Last meeting of semester",2021-11-29,"HEB 110"
"General Council Meeting","No meeting (Thanksgiving)",2021-11-22,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Guest Speaker (Business Casual attire)",2021-11-15,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Alumni Panel",2021-11-08,"Zoom"
"General Council Meeting","Regular Council Meeting",2021-11-01,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Guest Speaker (Business Casual attire)",2021-10-25,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Regular Council Meeting",2021-10-18,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Regular Council Meeting",2021-10-11,"HEB 110"
"General Council Meeting","New member introductions, Leadership Minute from Ben and Mason, The REACH Project",2021-10-04,"Chevron Rooms (ZACH 297-299)"
"General Council Meeting","Leadership Minute from James and Andrés",2021-09-27,"HEB 110"
"General Council Meeting","Leadership Minute from Victor and Ellie, first meeting of Fall 2021",2021-09-20,"Chevron Rooms (ZACH 297-299)"
